2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='30']
2026-06-24 14:42:09 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:42:11 INFO  Browser instance cleared for testcase : yatra_search_flight
2026-06-24 14:42:14 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:42:14 INFO  yatra_search_flight : Testcase Execution is started and browser launched : edge
2026-06-24 14:42:14 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:42:16 INFO  Browser instance cleared for testcase : yatra_search_flight
2026-06-24 14:42:25 INFO  yatra_search_flight : Testcase Execution is started and browser launched : firefox
2026-06-24 14:42:32 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Departure From')]
2026-06-24 14:42:33 INFO  Boston: Text entered in element : By.xpath: //label[text()='Departure From']/..//input
2026-06-24 14:42:36 INFO  Element clicked : By.xpath: //li//span[text()='Boston']
2026-06-24 14:42:36 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Departure From')]
2026-06-24 14:42:36 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Going To')]
2026-06-24 14:42:37 INFO  Boston: Text entered in element : By.xpath: //label[text()='Departure From']/..//input
2026-06-24 14:42:37 INFO  Amsterdam: Text entered in element : By.xpath: //label[text()='Going To']/..//input
2026-06-24 14:42:38 INFO  Element clicked : By.xpath: //li//span[text()='Amsterdam']
2026-06-24 14:42:38 INFO  Element clicked : By.xpath: //li//span[text()='Boston']
2026-06-24 14:42:39 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Going To')]
2026-06-24 14:42:39 INFO  Amsterdam: Text entered in element : By.xpath: //label[text()='Going To']/..//input
2026-06-24 14:42:40 INFO  Element clicked : By.xpath: //span[text()='Departure Date']/ancestor::div[contains(@aria-label,'Departure Date')]
2026-06-24 14:42:40 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:42:40 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='June 2026']
2026-06-24 14:42:40 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'June') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'25')]
2026-06-24 14:42:40 INFO  Element clicked : By.xpath: //li//span[text()='Amsterdam']
2026-06-24 14:42:40 INFO  Element clicked : By.xpath: //span[text()='Departure Date']/ancestor::div[contains(@aria-label,'Departure Date')]
2026-06-24 14:42:41 INFO  Element clicked : By.xpath: //span[text()='Return Date']/ancestor::div[contains(@aria-label,'Return Date')]
2026-06-24 14:42:41 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:42:41 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='July 2026']
